,Unnamed: 0,지점명,지점번호,교통량합,위도,경도,위도diff,경도diff
0,0,성산로(금화터널),A-01,1229.838888888889,37.568588,126.94843600000002,156,213
1,1,사직로(사직터널),A-02,1352.3652777777775,37.572297999999996,126.96285300000001,159,228
2,2,자하문로(자하문터널),A-03,570.39375,37.588831,126.968548,176,234
3,3,대사관로(삼청터널),A-04,238.29513888888889,37.596359,126.984209,182,250
4,4,율곡로(안국역),A-05,1059.2298611111114,37.576,126.984342,163,250
5,5,창경궁로(서울여자대학교),A-06,768.4868055555555,37.582526,126.998011,170,264
6,6,대학로(한국방송통신대학교),A-07,465.6444444444445,37.578188,127.002053,165,268
7,7,종로(동묘앞역),A-08,1020.8715277777777,37.573262,127.01711200000001,160,283
8,8,퇴계로(신당역),A-09,843.1944444444445,37.565712,127.02091200000001,153,287
9,9,동호로(장충체육관),A-10,1031.1128919860628,37.558563,127.007101,146,273
10,10,장충단로(장충단공원),A-11,925.5041666666667,37.556889,127.004655,144,271
11,11,퇴계로(회현역),A-12,694.4416961130742,37.557432,126.97648600000001,144,242
12,12,새문안로(서울역사박물관),A-14,896.7673611111112,37.569776,126.971354,157,237
13,13,종로(종로3가역),A-15,832.0847222222222,37.570215999999995,126.99083200000001,157,257
14,14,서소문로(시청역),A-16,814.0629370629372,37.562819,126.97271599999999,150,239
15,15,을지로(을지로3가역),A-18,605.6020833333333,37.566114,126.989326,153,255
16,16,칠패로(숭례문),A-19,315.82708333333335,37.559593,126.972518,147,239
17,17,남산1호터널,A-20,1334.5739436619715,37.542406,127.001356,129,267
18,18,남산2호터널,A-21,389.58345021037866,37.544301000000004,126.98976699999999,131,256
19,19,남산3호터널,A-22,659.0021097046414,37.544496,126.98835,131,254
20,20,소월로(회현역),A-23,213.73574408901248,37.557044,126.97636200000001,144,242
21,21,소파로(숭의여자대학교),A-24,205.20138888888889,37.554896,126.983521,142,250
22,22,도봉로(도봉산역),B-01,1107.8552631578948,37.691792,127.04508700000001,279,311
23,23,동일로(의정부IC),B-02,1799.9763888888888,37.688571,127.055376,276,321
24,24,아차산로(워커힐),B-03,585.7944444444445,37.550897,127.10895500000001,138,375
25,25,망우로(망우리공원),B-04,647.86875,37.601476,127.115674,188,382
26,26,경춘북로(중랑경찰서),B-05,983.2638888888887,37.619942,127.105325,207,371
27,27,화랑로(조선왕릉),B-06,985.716083916084,37.630725,127.098984,218,365
28,28,북부간선도로(신내IC),B-07,2451.551388888889,37.613824,127.1087,201,375
29,29,서하남로(서하남IC),B-08,2067.0625,37.516777000000005,127.146728,104,413
